wandb: Currently logged in as: iamsamliang (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.15
wandb: Run data is saved locally in /n/fs/nlp-saml/RACoLN_styleloss_ablation/wandb/run-20220503_063123-gpwywo1f
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no_style_loss
wandb: ⭐️ View project at https://wandb.ai/iamsamliang/RACoLN
wandb: 🚀 View run at https://wandb.ai/iamsamliang/RACoLN/runs/gpwywo1f
2022-05-03 07:01:24 | INFO | train_tsf_model.py | [Iteration 5700] Model Checkpoint Saved with Loss : 2.249, Acc : 32.5, BLEU : 55.708
2022-05-03 07:01:52 | INFO | train_tsf_model.py | [Iteration 5800] SelfLoss : 0.988 CycleLoss : 1.57 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 07:01:56 | INFO | train_tsf_model.py | [Iteration 5800] Model Checkpoint Saved with Loss : 2.189, Acc : 32.4, BLEU : 56.095
2022-05-03 07:02:23 | INFO | train_tsf_model.py | [Iteration 5900] SelfLoss : 0.947 CycleLoss : 1.565 StyleLoss : 0 ContentLoss : 0.097
2022-05-03 07:02:27 | INFO | train_tsf_model.py | [Iteration 5900] Model Checkpoint Saved with Loss : 2.14, Acc : 32.5, BLEU : 57.321
2022-05-03 07:02:55 | INFO | train_tsf_model.py | [Iteration 6000] SelfLoss : 0.864 CycleLoss : 1.458 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:02:59 | INFO | train_tsf_model.py | [Iteration 6000] Model Checkpoint Saved with Loss : 2.096, Acc : 33.4, BLEU : 57.511
2022-05-03 07:03:26 | INFO | train_tsf_model.py | [Iteration 6100] SelfLoss : 0.856 CycleLoss : 1.438 StyleLoss : 0 ContentLoss : 0.097
2022-05-03 07:03:30 | INFO | train_tsf_model.py | [Iteration 6100] Model Checkpoint Saved with Loss : 2.069, Acc : 30.4, BLEU : 58.967
2022-05-03 07:03:57 | INFO | train_tsf_model.py | [Iteration 6200] SelfLoss : 0.86 CycleLoss : 1.458 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:04:01 | INFO | train_tsf_model.py | [Iteration 6200] Model Checkpoint Saved with Loss : 2.026, Acc : 32.4, BLEU : 58.875
2022-05-03 07:04:28 | INFO | train_tsf_model.py | [Iteration 6300] SelfLoss : 0.849 CycleLoss : 1.437 StyleLoss : 0 ContentLoss : 0.096
2022-05-03 07:04:32 | INFO | train_tsf_model.py | [Iteration 6300] Model Checkpoint Saved with Loss : 2.004, Acc : 30.0, BLEU : 59.802
2022-05-03 07:04:59 | INFO | train_tsf_model.py | [Iteration 6400] SelfLoss : 0.803 CycleLoss : 1.348 StyleLoss : 0 ContentLoss : 0.094
2022-05-03 07:05:03 | INFO | train_tsf_model.py | [Iteration 6400] Model Checkpoint Saved with Loss : 1.989, Acc : 32.2, BLEU : 60.194
2022-05-03 07:05:31 | INFO | train_tsf_model.py | [Iteration 6500] SelfLoss : 0.89 CycleLoss : 1.469 StyleLoss : 0 ContentLoss : 0.094
2022-05-03 07:05:35 | INFO | train_tsf_model.py | [Iteration 6500] Model Checkpoint Saved with Loss : 1.949, Acc : 32.2, BLEU : 60.22
2022-05-03 07:06:02 | INFO | train_tsf_model.py | [Iteration 6600] SelfLoss : 0.757 CycleLoss : 1.313 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 07:06:06 | INFO | train_tsf_model.py | [Iteration 6600] Model Checkpoint Saved with Loss : 1.901, Acc : 29.8, BLEU : 61.992
2022-05-03 07:06:34 | INFO | train_tsf_model.py | [Iteration 6700] SelfLoss : 0.797 CycleLoss : 1.342 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:06:37 | INFO | train_tsf_model.py | [Iteration 6700] Model Checkpoint Saved with Loss : 1.853, Acc : 30.1, BLEU : 62.381
2022-05-03 07:07:05 | INFO | train_tsf_model.py | [Iteration 6800] SelfLoss : 0.877 CycleLoss : 1.469 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:07:09 | INFO | train_tsf_model.py | [Iteration 6800] Model Checkpoint Saved with Loss : 1.841, Acc : 31.7, BLEU : 61.916
2022-05-03 07:07:35 | INFO | train_tsf_model.py | [Iteration 6900] SelfLoss : 0.791 CycleLoss : 1.331 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:07:39 | INFO | train_tsf_model.py | [Iteration 6900] Model Checkpoint Saved with Loss : 1.809, Acc : 29.1, BLEU : 63.056
2022-05-03 07:08:07 | INFO | train_tsf_model.py | [Iteration 7000] SelfLoss : 0.767 CycleLoss : 1.36 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:08:11 | INFO | train_tsf_model.py | [Iteration 7000] Model Checkpoint Saved with Loss : 1.788, Acc : 27.4, BLEU : 64.388
2022-05-03 07:08:38 | INFO | train_tsf_model.py | [Iteration 7100] SelfLoss : 0.739 CycleLoss : 1.279 StyleLoss : 0 ContentLoss : 0.094
2022-05-03 07:08:41 | INFO | train_tsf_model.py | [Iteration 7100] Model Checkpoint Saved with Loss : 1.762, Acc : 30.0, BLEU : 64.262
2022-05-03 07:09:08 | INFO | train_tsf_model.py | [Iteration 7200] SelfLoss : 0.745 CycleLoss : 1.303 StyleLoss : 0 ContentLoss : 0.094
2022-05-03 07:09:12 | INFO | train_tsf_model.py | [Iteration 7200] Model Checkpoint Saved with Loss : 1.754, Acc : 30.3, BLEU : 64.223
2022-05-03 07:09:38 | INFO | train_tsf_model.py | [Iteration 7300] SelfLoss : 0.774 CycleLoss : 1.359 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:09:42 | INFO | train_tsf_model.py | [Iteration 7300] Model Checkpoint Saved with Loss : 1.701, Acc : 28.2, BLEU : 65.358
2022-05-03 07:10:10 | INFO | train_tsf_model.py | [Iteration 7400] SelfLoss : 0.784 CycleLoss : 1.343 StyleLoss : 0 ContentLoss : 0.092
2022-05-03 07:10:13 | INFO | train_tsf_model.py | [Iteration 7400] Model Checkpoint Saved with Loss : 1.692, Acc : 27.4, BLEU : 65.919
2022-05-03 07:10:40 | INFO | train_tsf_model.py | [Iteration 7500] SelfLoss : 0.769 CycleLoss : 1.318 StyleLoss : 0 ContentLoss : 0.092
2022-05-03 07:10:44 | INFO | train_tsf_model.py | [Iteration 7500] Model Checkpoint Saved with Loss : 1.669, Acc : 27.6, BLEU : 66.657
2022-05-03 07:11:12 | INFO | train_tsf_model.py | [Iteration 7600] SelfLoss : 0.715 CycleLoss : 1.237 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 07:11:16 | INFO | train_tsf_model.py | [Iteration 7600] Model Checkpoint Saved with Loss : 1.628, Acc : 26.5, BLEU : 67.13
2022-05-03 07:11:44 | INFO | train_tsf_model.py | [Iteration 7700] SelfLoss : 0.713 CycleLoss : 1.278 StyleLoss : 0 ContentLoss : 0.09
2022-05-03 07:11:48 | INFO | train_tsf_model.py | [Iteration 7700] Model Checkpoint Saved with Loss : 1.595, Acc : 27.9, BLEU : 67.684
2022-05-03 07:12:17 | INFO | train_tsf_model.py | [Iteration 7800] SelfLoss : 0.59 CycleLoss : 1.069 StyleLoss : 0 ContentLoss : 0.09
2022-05-03 07:12:21 | INFO | train_tsf_model.py | [Iteration 7800] Model Checkpoint Saved with Loss : 1.579, Acc : 28.0, BLEU : 67.72
2022-05-03 07:12:48 | INFO | train_tsf_model.py | [Iteration 7900] SelfLoss : 0.64 CycleLoss : 1.155 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 07:12:52 | INFO | train_tsf_model.py | [Iteration 7900] Model Checkpoint Saved with Loss : 1.559, Acc : 25.3, BLEU : 69.311
2022-05-03 07:13:19 | INFO | train_tsf_model.py | [Iteration 8000] SelfLoss : 0.609 CycleLoss : 1.113 StyleLoss : 0 ContentLoss : 0.091
2022-05-03 07:13:22 | INFO | train_tsf_model.py | [Iteration 8000] Model Checkpoint Saved with Loss : 1.529, Acc : 25.4, BLEU : 69.537
2022-05-03 07:13:49 | INFO | train_tsf_model.py | [Iteration 8100] SelfLoss : 0.646 CycleLoss : 1.187 StyleLoss : 0 ContentLoss : 0.092
2022-05-03 07:13:53 | INFO | train_tsf_model.py | [Iteration 8100] Model Checkpoint Saved with Loss : 1.515, Acc : 26.6, BLEU : 69.898
2022-05-03 07:14:20 | INFO | train_tsf_model.py | [Iteration 8200] SelfLoss : 0.654 CycleLoss : 1.175 StyleLoss : 0 ContentLoss : 0.089
2022-05-03 07:14:24 | INFO | train_tsf_model.py | [Iteration 8200] Model Checkpoint Saved with Loss : 1.49, Acc : 26.3, BLEU : 69.715
2022-05-03 07:14:52 | INFO | train_tsf_model.py | [Iteration 8300] SelfLoss : 0.601 CycleLoss : 1.099 StyleLoss : 0 ContentLoss : 0.089
2022-05-03 07:14:56 | INFO | train_tsf_model.py | [Iteration 8300] Model Checkpoint Saved with Loss : 1.478, Acc : 25.5, BLEU : 70.178
