wandb: Currently logged in as: iamsamliang (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.15
wandb: Run data is saved locally in /n/fs/nlp-saml/RACoLN_cycleloss/wandb/run-20220503_084219-2iq44l8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no_cycle_loss
wandb: ⭐️ View project at https://wandb.ai/iamsamliang/RACoLN
wandb: 🚀 View run at https://wandb.ai/iamsamliang/RACoLN/runs/2iq44l8k
2022-05-03 09:01:45 | INFO | train_tsf_model.py | [Iteration 3100] Model Checkpoint Saved with Loss : 0.875, Acc : 98.5, BLEU : 33.155
2022-05-03 09:02:18 | INFO | train_tsf_model.py | [Iteration 3200] SelfLoss : 0.925 CycleLoss : 0 StyleLoss : 0.027 ContentLoss : 0.151
2022-05-03 09:02:22 | INFO | train_tsf_model.py | [Iteration 3200] Model Checkpoint Saved with Loss : 0.845, Acc : 98.7, BLEU : 33.624
2022-05-03 09:02:56 | INFO | train_tsf_model.py | [Iteration 3300] SelfLoss : 0.953 CycleLoss : 0 StyleLoss : 0.004 ContentLoss : 0.158
2022-05-03 09:03:00 | INFO | train_tsf_model.py | [Iteration 3300] Model Checkpoint Saved with Loss : 0.827, Acc : 98.5, BLEU : 33.278
2022-05-03 09:03:33 | INFO | train_tsf_model.py | [Iteration 3400] SelfLoss : 0.987 CycleLoss : 0 StyleLoss : 0.017 ContentLoss : 0.153
2022-05-03 09:03:37 | INFO | train_tsf_model.py | [Iteration 3400] Model Checkpoint Saved with Loss : 0.799, Acc : 98.3, BLEU : 34.969
2022-05-03 09:04:11 | INFO | train_tsf_model.py | [Iteration 3500] SelfLoss : 0.848 CycleLoss : 0 StyleLoss : 0.034 ContentLoss : 0.154
2022-05-03 09:04:15 | INFO | train_tsf_model.py | [Iteration 3500] Model Checkpoint Saved with Loss : 0.77, Acc : 98.4, BLEU : 35.346
2022-05-03 09:04:48 | INFO | train_tsf_model.py | [Iteration 3600] SelfLoss : 0.819 CycleLoss : 0 StyleLoss : 0.026 ContentLoss : 0.152
